City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,,
Delhi,12/03/18,214,117.7,231.12,177.62,243.96,2.25,203.3,,
Delhi,13/03/18,217,119.35,234.36,180.11,247.38,2.28,206.15,,
Delhi,14/03/18,267,146.85,288.36,221.61,304.38,2.8,253.65,,
Delhi,15/03/18,297,163.35,320.76,246.51,338.58,3.12,282.15,,
Delhi,16/03/18,256,140.8,276.48,212.48,291.84,2.69,243.2,,
Delhi,17/03/18,186,102.3,200.88,154.38,212.04,1.95,176.7,,
Delhi,18/03/18,169,92.95,182.52,140.27,192.66,1.77,160.55,,
Delhi,19/03/18,173,95.15,186.84,143.59,197.22,1.82,164.35,,
Delhi,20/03/18,217,119.35,234.36,180.11,247.38,2.28,206.15,,
Delhi,21/03/18,289,158.95,312.12,239.87,329.46,3.03,274.55,,
Delhi,22/03/18,186,102.3,200.88,154.38,212.04,1.95,176.7,,
Delhi,23/03/18,151,83.05,163.08,125.33,172.14,1.59,143.45,,
Delhi,24/03/18,175,96.25,189,145.25,199.5,1.84,166.25,,
Delhi,25/03/18,195,107.25,210.6,161.85,222.3,2.05,185.25,,
Delhi,26/03/18,183,100.65,197.64,151.89,208.62,1.92,173.85,,
Delhi,27/03/18,230,126.5,248.4,190.9,262.2,2.42,218.5,,
Delhi,28/03/18,255,140.25,275.4,211.65,290.7,2.68,242.25,,
Delhi,29/03/18,213,117.15,230.04,176.79,242.82,2.24,202.35,,
Delhi,30/03/18,218,119.9,235.44,180.94,248.52,2.29,207.1,,
Delhi,31/03/18,256,140.8,276.48,212.48,291.84,2.69,243.2,,
Delhi,01/04/18,195,107.25,210.6,161.85,222.3,2.05,185.25,,
Delhi,02/04/18,219,120.45,236.52,181.77,249.66,2.3,208.05,,
Delhi,03/04/18,207,113.85,223.56,171.81,235.98,2.17,196.65,,
Delhi,04/04/18,203,111.65,219.24,168.49,231.42,2.13,192.85,,
Delhi,05/04/18,290,159.5,313.2,240.7,330.6,3.05,275.5,,
Delhi,06/04/18,208,114.4,224.64,172.64,237.12,2.18,197.6,,
Delhi,07/04/18,143,78.65,154.44,118.69,163.02,1.5,135.85,,
Delhi,08/04/18,141,77.55,152.28,117.03,160.74,1.48,133.95,,
Delhi,09/04/18,120,66,129.6,99.6,136.8,1.26,114,,
Delhi,10/04/18,230,126.5,248.4,190.9,262.2,2.42,218.5,,
Delhi,11/04/18,141,77.55,152.28,117.03,160.74,1.48,133.95,,
Delhi,12/04/18,99,54.45,106.92,82.17,112.86,1.04,94.05,,
Delhi,13/04/18,188,103.4,203.04,156.04,214.32,1.97,178.6,,
Delhi,14/04/18,217,119.35,234.36,180.11,247.38,2.28,206.15,,
Delhi,15/04/18,224,123.2,241.92,185.92,255.36,2.35,212.8,,
Delhi,16/04/18,285,156.75,307.8,236.55,324.9,2.99,270.75,,
Delhi,17/04/18,244,134.2,263.52,202.52,278.16,2.56,231.8,,
Delhi,18/04/18,228,125.4,246.24,189.24,259.92,2.39,216.6,,
Delhi,19/04/18,244,134.2,263.52,202.52,278.16,2.56,231.8,,
Delhi,20/04/18,246,135.3,265.68,204.18,280.44,2.58,233.7,,
Delhi,21/04/18,356,195.8,384.48,295.48,405.84,3.74,338.2,,
Delhi,22/04/18,211,116.05,227.88,175.13,240.54,2.22,200.45,,
Delhi,23/04/18,160,88,172.8,132.8,182.4,1.68,152,,
Delhi,24/04/18,254,139.7,274.32,210.82,289.56,2.67,241.3,,
Delhi,25/04/18,266,146.3,287.28,220.78,303.24,2.79,252.7,,
Delhi,26/04/18,313,172.15,338.04,259.79,356.82,3.29,297.35,,
Delhi,27/04/18,310,170.5,334.8,257.3,353.4,3.26,294.5,,
Delhi,28/04/18,301,165.55,325.08,249.83,343.14,3.16,285.95,,
Delhi,29/04/18,248,136.4,267.84,205.84,282.72,2.6,235.6,,
Delhi,30/04/18,209,114.95,225.72,173.47,238.26,2.19,198.55,,
Delhi,01/05/18,177,97.35,191.16,146.91,201.78,1.86,168.15,,
Delhi,02/05/18,153,84.15,165.24,126.99,174.42,1.61,145.35,,
Delhi,03/05/18,160,88,172.8,132.8,182.4,1.68,152,,
Delhi,04/05/18,139,76.45,150.12,115.37,158.46,1.46,132.05,,
Delhi,05/05/18,173,95.15,186.84,143.59,197.22,1.82,164.35,,
Delhi,06/05/18,269,147.95,290.52,223.27,306.66,2.82,255.55,,
Delhi,07/05/18,211,116.05,227.88,175.13,240.54,2.22,200.45,,
Delhi,08/05/18,208,114.4,224.64,172.64,237.12,2.18,197.6,,
Delhi,09/05/18,163,89.65,176.04,135.29,185.82,1.71,154.85,,
Delhi,10/05/18,190,104.5,205.2,157.7,216.6,2,180.5,,
Delhi,11/05/18,256,140.8,276.48,212.48,291.84,2.69,243.2,,
Delhi,12/05/18,304,167.2,328.32,252.32,346.56,3.19,288.8,,
Delhi,13/05/18,215,118.25,232.2,178.45,245.1,2.26,204.25,,
Delhi,14/05/18,130,71.5,140.4,107.9,148.2,1.37,123.5,,
Delhi,15/05/18,164,90.2,177.12,136.12,186.96,1.72,155.8,,
Delhi,16/05/18,190,104.5,205.2,157.7,216.6,2,180.5,,
Delhi,17/05/18,243,133.65,262.44,201.69,277.02,2.55,230.85,,
Delhi,18/05/18,225,123.75,243,186.75,256.5,2.36,213.75,,
Delhi,19/05/18,242,133.1,261.36,200.86,275.88,2.54,229.9,,
Delhi,20/05/18,199,109.45,214.92,165.17,226.86,2.09,189.05,,
Delhi,21/05/18,183,100.65,197.64,151.89,208.62,1.92,173.85,,
Delhi,22/05/18,212,116.6,228.96,175.96,241.68,2.23,201.4,,
Delhi,23/05/18,301,165.55,325.08,249.83,343.14,3.16,285.95,,
Delhi,24/05/18,252,138.6,272.16,209.16,287.28,2.65,239.4,,
Delhi,25/05/18,251,138.05,271.08,208.33,286.14,2.64,238.45,,
Delhi,26/05/18,235,129.25,253.8,195.05,267.9,2.47,223.25,,
Delhi,27/05/18,277,152.35,299.16,229.91,315.78,2.91,263.15,,
Delhi,28/05/18,275,151.25,297,228.25,313.5,2.89,261.25,,
Delhi,29/05/18,285,156.75,307.8,236.55,324.9,2.99,270.75,,
Delhi,30/05/18,281,154.55,303.48,233.23,320.34,2.95,266.95,,
Delhi,31/05/18,208,114.4,224.64,172.64,237.12,2.18,197.6,,
Delhi,01/06/18,198,108.9,213.84,164.34,225.72,2.08,188.1,,
Delhi,02/06/18,173,95.15,186.84,143.59,197.22,1.82,164.35,,
Delhi,03/06/18,174,95.7,187.92,144.42,198.36,1.83,165.3,,
Delhi,04/06/18,183,100.65,197.64,151.89,208.62,1.92,173.85,,
Delhi,05/06/18,169,92.95,182.52,140.27,192.66,1.77,160.55,,
Delhi,06/06/18,136,74.8,146.88,112.88,155.04,1.43,129.2,,
Delhi,07/06/18,164,90.2,177.12,136.12,186.96,1.72,155.8,,
Delhi,08/06/18,179,98.45,193.32,148.57,204.06,1.88,170.05,,
Delhi,09/06/18,127,69.85,137.16,105.41,144.78,1.33,120.65,,
Delhi,10/06/18,158,86.9,170.64,131.14,180.12,1.66,150.1,,
Delhi,11/06/18,183,100.65,197.64,151.89,208.62,1.92,173.85,,
Delhi,12/06/18,296,162.8,319.68,245.68,337.44,3.11,281.2,,
Delhi,13/06/18,445,244.75,480.6,369.35,507.3,4.67,422.75,,
Delhi,14/06/18,431,237.05,465.48,357.73,491.34,4.53,409.45,,
Delhi,15/06/18,447,245.85,482.76,371.01,509.58,4.69,424.65,,
Delhi,16/06/18,369,202.95,398.52,306.27,420.66,3.87,350.55,,
Delhi,17/06/18,289,158.95,312.12,239.87,329.46,3.03,274.55,,
Delhi,18/06/18,171,94.05,184.68,141.93,194.94,1.8,162.45,,
Delhi,19/06/18,121,66.55,130.68,100.43,137.94,1.27,114.95,,
Delhi,20/06/18,177,97.35,191.16,146.91,201.78,1.86,168.15,,
Delhi,21/06/18,226,124.3,244.08,187.58,257.64,2.37,214.7,,
Delhi,22/06/18,236,129.8,254.88,195.88,269.04,2.48,224.2,,
Delhi,23/06/18,218,119.9,235.44,180.94,248.52,2.29,207.1,,
Delhi,24/06/18,183,100.65,197.64,151.89,208.62,1.92,173.85,,
Delhi,25/06/18,192,105.6,207.36,159.36,218.88,2.02,182.4,,
Delhi,26/06/18,110,60.5,118.8,91.3,125.4,1.16,104.5,,
Delhi,27/06/18,93,51.15,100.44,77.19,106.02,0.98,88.35,,
Delhi,28/06/18,76,41.8,82.08,63.08,86.64,0.8,72.2,,
Delhi,29/06/18,72,39.6,77.76,59.76,82.08,0.76,68.4,,
Delhi,30/06/18,96,52.8,103.68,79.68,109.44,1.01,91.2,,
Delhi,01/07/18,92,50.6,99.36,76.36,104.88,0.97,87.4,,
Delhi,02/07/18,106,58.3,114.48,87.98,120.84,1.11,100.7,,
Delhi,03/07/18,114,62.7,123.12,94.62,129.96,1.2,108.3,,
Delhi,04/07/18,137,75.35,147.96,113.71,156.18,1.44,130.15,,
Delhi,05/07/18,123,67.65,132.84,102.09,140.22,1.29,116.85,,
Delhi,06/07/18,147,80.85,158.76,122.01,167.58,1.54,139.65,,
Delhi,07/07/18,151,83.05,163.08,125.33,172.14,1.59,143.45,,
Delhi,08/07/18,182,100.1,196.56,151.06,207.48,1.91,172.9,,
Delhi,09/07/18,157,86.35,169.56,130.31,178.98,1.65,149.15,,
Delhi,10/07/18,134,73.7,144.72,111.22,152.76,1.41,127.3,,
Delhi,11/07/18,106,58.3,114.48,87.98,120.84,1.11,100.7,,
Delhi,12/07/18,143,78.65,154.44,118.69,163.02,1.5,135.85,,
Delhi,13/07/18,99,54.45,106.92,82.17,112.86,1.04,94.05,,
Delhi,14/07/18,76,41.8,82.08,63.08,86.64,0.8,72.2,,
Delhi,15/07/18,76,41.8,82.08,63.08,86.64,0.8,72.2,,
Delhi,16/07/18,87,47.85,93.96,72.21,99.18,0.91,82.65,,
Delhi,17/07/18,91,50.05,98.28,75.53,103.74,0.96,86.45,,
Delhi,18/07/18,106,58.3,114.48,87.98,120.84,1.11,100.7,,
Delhi,19/07/18,88,48.4,95.04,73.04,100.32,0.92,83.6,,
Delhi,20/07/18,80,44,86.4,66.4,91.2,0.84,76,,
Delhi,21/07/18,111,61.05,119.88,92.13,126.54,1.17,105.45,,
Delhi,22/07/18,61,33.55,65.88,50.63,69.54,0.64,57.95,,
Delhi,23/07/18,67,36.85,72.36,55.61,76.38,0.7,63.65,,
Delhi,24/07/18,90,49.5,97.2,74.7,102.6,0.95,85.5,,
Delhi,25/07/18,78,42.9,84.24,64.74,88.92,0.82,74.1,,
Delhi,26/07/18,74,40.7,79.92,61.42,84.36,0.78,70.3,,
Delhi,27/07/18,54,29.7,58.32,44.82,61.56,0.57,51.3,,
Delhi,28/07/18,57,31.35,61.56,47.31,64.98,0.6,54.15,,
Delhi,29/07/18,90,49.5,97.2,74.7,102.6,0.95,85.5,,
Delhi,30/07/18,115,63.25,124.2,95.45,131.1,1.21,109.25,,
Delhi,31/07/18,132,72.6,142.56,109.56,150.48,1.39,125.4,,
Delhi,01/08/18,153,84.15,165.24,126.99,174.42,1.61,145.35,,
Delhi,02/08/18,235,129.25,253.8,195.05,267.9,2.47,223.25,,
Delhi,03/08/18,213,117.15,230.04,176.79,242.82,2.24,202.35,,
Delhi,04/08/18,216,118.8,233.28,179.28,246.24,2.27,205.2,,
Delhi,05/08/18,241,132.55,260.28,200.03,274.74,2.53,228.95,,
Delhi,06/08/18,133,73.15,143.64,110.39,151.62,1.4,126.35,,
Delhi,07/08/18,113,62.15,122.04,93.79,128.82,1.19,107.35,,
Delhi,08/08/18,86,47.3,92.88,71.38,98.04,0.9,81.7,,
Delhi,09/08/18,88,48.4,95.04,73.04,100.32,0.92,83.6,,
Delhi,10/08/18,102,56.1,110.16,84.66,116.28,1.07,96.9,,
Delhi,11/08/18,96,52.8,103.68,79.68,109.44,1.01,91.2,,
Delhi,12/08/18,83,45.65,89.64,68.89,94.62,0.87,78.85,,
Delhi,13/08/18,94,51.7,101.52,78.02,107.16,0.99,89.3,,
Delhi,14/08/18,117,64.35,126.36,97.11,133.38,1.23,111.15,,
Delhi,15/08/18,120,66,129.6,99.6,136.8,1.26,114,,
Delhi,16/08/18,86,47.3,92.88,71.38,98.04,0.9,81.7,,
Delhi,17/08/18,84,46.2,90.72,69.72,95.76,0.88,79.8,,
Delhi,18/08/18,80,44,86.4,66.4,91.2,0.84,76,,
Delhi,19/08/18,89,48.95,96.12,73.87,101.46,0.93,84.55,,
Delhi,20/08/18,137,75.35,147.96,113.71,156.18,1.44,130.15,,
Delhi,21/08/18,87,47.85,93.96,72.21,99.18,0.91,82.65,,
Delhi,22/08/18,78,42.9,84.24,64.74,88.92,0.82,74.1,,
Delhi,23/08/18,69,37.95,74.52,57.27,78.66,0.72,65.55,,
Delhi,24/08/18,80,44,86.4,66.4,91.2,0.84,76,,
Delhi,25/08/18,89,48.95,96.12,73.87,101.46,0.93,84.55,,
Delhi,26/08/18,78,42.9,84.24,64.74,88.92,0.82,74.1,,
Delhi,27/08/18,62,34.1,66.96,51.46,70.68,0.65,58.9,,
Delhi,28/08/18,71,39.05,76.68,58.93,80.94,0.75,67.45,,
Delhi,29/08/18,68,37.4,73.44,56.44,77.52,0.71,64.6,,
Delhi,30/08/18,78,42.9,84.24,64.74,88.92,0.82,74.1,,
Delhi,31/08/18,127,69.85,137.16,105.41,144.78,1.33,120.65,,
Delhi,01/09/18,114,62.7,123.12,94.62,129.96,1.2,108.3,,
Delhi,02/09/18,106,58.3,114.48,87.98,120.84,1.11,100.7,,
Delhi,03/09/18,73,40.15,78.84,60.59,83.22,0.77,69.35,,
Delhi,04/09/18,112,61.6,120.96,92.96,127.68,1.18,106.4,,
Delhi,05/09/18,90,49.5,97.2,74.7,102.6,0.95,85.5,,
Delhi,06/09/18,137,75.35,147.96,113.71,156.18,1.44,130.15,,
Delhi,07/09/18,91,50.05,98.28,75.53,103.74,0.96,86.45,,
Delhi,08/09/18,86,47.3,92.88,71.38,98.04,0.9,81.7,,
Delhi,09/09/18,61,33.55,65.88,50.63,69.54,0.64,57.95,,
Delhi,10/09/18,84,46.2,90.72,69.72,95.76,0.88,79.8,,
Delhi,11/09/18,79,43.45,85.32,65.57,90.06,0.83,75.05,,
Delhi,12/09/18,90,49.5,97.2,74.7,102.6,0.95,85.5,,
Delhi,13/09/18,103,56.65,111.24,85.49,117.42,1.08,97.85,,
Delhi,14/09/18,102,56.1,110.16,84.66,116.28,1.07,96.9,,
Delhi,15/09/18,118,64.9,127.44,97.94,134.52,1.24,112.1,,
Delhi,16/09/18,121,66.55,130.68,100.43,137.94,1.27,114.95,,
Delhi,17/09/18,135,74.25,145.8,112.05,153.9,1.42,128.25,,
Delhi,18/09/18,150,82.5,162,124.5,171,1.58,142.5,,
Delhi,19/09/18,154,84.7,166.32,127.82,175.56,1.62,146.3,,
Delhi,20/09/18,164,90.2,177.12,136.12,186.96,1.72,155.8,,
Delhi,21/09/18,143,78.65,154.44,118.69,163.02,1.5,135.85,,
Delhi,22/09/18,54,29.7,58.32,44.82,61.56,0.57,51.3,,
Delhi,23/09/18,62,34.1,66.96,51.46,70.68,0.65,58.9,,
Delhi,24/09/18,52,28.6,56.16,43.16,59.28,0.55,49.4,,
Delhi,25/09/18,55,30.25,59.4,45.65,62.7,0.58,52.25,,
Delhi,26/09/18,88,48.4,95.04,73.04,100.32,0.92,83.6,,
Delhi,27/09/18,151,83.05,163.08,125.33,172.14,1.59,143.45,,
Delhi,28/09/18,197,108.35,212.76,163.51,224.58,2.07,187.15,,
Delhi,29/09/18,219,120.45,236.52,181.77,249.66,2.3,208.05,,
Delhi,30/09/18,158,86.9,170.64,131.14,180.12,1.66,150.1,,
Delhi,01/10/18,148,81.4,159.84,122.84,168.72,1.55,140.6,,
Delhi,02/10/18,202,111.1,218.16,167.66,230.28,2.12,191.9,,
Delhi,03/10/18,143,78.65,154.44,118.69,163.02,1.5,135.85,,
Delhi,04/10/18,201,110.55,217.08,166.83,229.14,2.11,190.95,,
Delhi,05/10/18,256,140.8,276.48,212.48,291.84,2.69,243.2,,
Delhi,06/10/18,209,114.95,225.72,173.47,238.26,2.19,198.55,,
Delhi,07/10/18,181,99.55,195.48,150.23,206.34,1.9,171.95,,
Delhi,08/10/18,246,135.3,265.68,204.18,280.44,2.58,233.7,,
Delhi,09/10/18,251,138.05,271.08,208.33,286.14,2.64,238.45,,
Delhi,10/10/18,241,132.55,260.28,200.03,274.74,2.53,228.95,,
Delhi,11/10/18,210,115.5,226.8,174.3,239.4,2.21,199.5,,
Delhi,12/10/18,154,84.7,166.32,127.82,175.56,1.62,146.3,,
Delhi,13/10/18,262,144.1,282.96,217.46,298.68,2.75,248.9,,
Delhi,14/10/18,204,112.2,220.32,169.32,232.56,2.14,193.8,,
Delhi,15/10/18,246,135.3,265.68,204.18,280.44,2.58,233.7,,
Delhi,16/10/18,291,160.05,314.28,241.53,331.74,3.06,276.45,,
Delhi,17/10/18,313,172.15,338.04,259.79,356.82,3.29,297.35,,
Delhi,18/10/18,297,163.35,320.76,246.51,338.58,3.12,282.15,,
Delhi,19/10/18,276,151.8,298.08,229.08,314.64,2.9,262.2,,
Delhi,20/10/18,326,179.3,352.08,270.58,371.64,3.42,309.7,,
Delhi,21/10/18,292,160.6,315.36,242.36,332.88,3.07,277.4,,
Delhi,22/10/18,272,149.6,293.76,225.76,310.08,2.86,258.4,,
Delhi,23/10/18,254,139.7,274.32,210.82,289.56,2.67,241.3,,
Delhi,24/10/18,328,180.4,354.24,272.24,373.92,3.44,311.6,,
Delhi,25/10/18,331,182.05,357.48,274.73,377.34,3.48,314.45,,
Delhi,26/10/18,361,198.55,389.88,299.63,411.54,3.79,342.95,,
Delhi,27/10/18,350,192.5,378,290.5,399,3.68,332.5,,
Delhi,28/10/18,366,201.3,395.28,303.78,417.24,3.84,347.7,,
Delhi,29/10/18,367,201.85,396.36,304.61,418.38,3.85,348.65,,
Delhi,30/10/18,401,220.55,433.08,332.83,457.14,4.21,380.95,,
Delhi,31/10/18,358,196.9,386.64,297.14,408.12,3.76,340.1,,
Delhi,01/11/18,393,216.15,424.44,326.19,448.02,4.13,373.35,,
Delhi,02/11/18,370,203.5,399.6,307.1,421.8,3.89,351.5,,
Delhi,03/11/18,340,187,367.2,282.2,387.6,3.57,323,,
Delhi,04/11/18,171,94.05,184.68,141.93,194.94,1.8,162.45,,
Delhi,05/11/18,426,234.3,460.08,353.58,485.64,4.47,404.7,,
Delhi,06/11/18,338,185.9,365.04,280.54,385.32,3.55,321.1,,
Delhi,07/11/18,281,154.55,303.48,233.23,320.34,2.95,266.95,,
Delhi,08/11/18,390,214.5,421.2,323.7,444.6,4.1,370.5,,
Delhi,09/11/18,423,232.65,456.84,351.09,482.22,4.44,401.85,,
Delhi,10/11/18,401,220.55,433.08,332.83,457.14,4.21,380.95,,
Delhi,11/11/18,405,222.75,437.4,336.15,461.7,4.25,384.75,,
Delhi,12/11/18,399,219.45,430.92,331.17,454.86,4.19,379.05,,
Delhi,13/11/18,409,224.95,441.72,339.47,466.26,4.29,388.55,,
Delhi,14/11/18,312,171.6,336.96,258.96,355.68,3.28,296.4,,
Delhi,15/11/18,217,119.35,234.36,180.11,247.38,2.28,206.15,,
Delhi,16/11/18,285,156.75,307.8,236.55,324.9,2.99,270.75,,
Delhi,17/11/18,267,146.85,288.36,221.61,304.38,2.8,253.65,,
Delhi,18/11/18,311,171.05,335.88,258.13,354.54,3.27,295.45,,
Delhi,19/11/18,330,181.5,356.4,273.9,376.2,3.47,313.5,,
Delhi,20/11/18,374,205.7,403.92,310.42,426.36,3.93,355.3,,
Delhi,21/11/18,374,205.7,403.92,310.42,426.36,3.93,355.3,,
Delhi,22/11/18,273,150.15,294.84,226.59,311.22,2.87,259.35,,
Delhi,23/11/18,337,185.35,363.96,279.71,384.18,3.54,320.15,,
Delhi,24/11/18,249,136.95,268.92,206.67,283.86,2.61,236.55,,
Delhi,25/11/18,262,144.1,282.96,217.46,298.68,2.75,248.9,,
Delhi,26/11/18,336,184.8,362.88,278.88,383.04,3.53,319.2,,
Delhi,27/11/18,352,193.6,380.16,292.16,401.28,3.7,334.4,,
Delhi,28/11/18,316,173.8,341.28,262.28,360.24,3.32,300.2,,
Delhi,29/11/18,358,196.9,386.64,297.14,408.12,3.76,340.1,,
Delhi,30/11/18,352,193.6,380.16,292.16,401.28,3.7,334.4,,
Delhi,01/12/18,306,168.3,330.48,253.98,348.84,3.21,290.7,,
Delhi,02/12/18,297,163.35,320.76,246.51,338.58,3.12,282.15,,
Delhi,03/12/18,328,180.4,354.24,272.24,373.92,3.44,311.6,,
Delhi,04/12/18,356,195.8,384.48,295.48,405.84,3.74,338.2,,
Delhi,05/12/18,331,182.05,357.48,274.73,377.34,3.48,314.45,,
Delhi,06/12/18,349,191.95,376.92,289.67,397.86,3.66,331.55,,
Delhi,07/12/18,348,191.4,375.84,288.84,396.72,3.65,330.6,,
Delhi,08/12/18,347,190.85,374.76,288.01,395.58,3.64,329.65,,
Delhi,09/12/18,374,205.7,403.92,310.42,426.36,3.93,355.3,,
Delhi,10/12/18,403,221.65,435.24,334.49,459.42,4.23,382.85,,
Delhi,11/12/18,413,227.15,446.04,342.79,470.82,4.34,392.35,,
Delhi,12/12/18,392,215.6,423.36,325.36,446.88,4.12,372.4,,
Delhi,13/12/18,194,106.7,209.52,161.02,221.16,2.04,184.3,,
Delhi,14/12/18,249,136.95,268.92,206.67,283.86,2.61,236.55,,
Delhi,15/12/18,261,143.55,281.88,216.63,297.54,2.74,247.95,,
Delhi,16/12/18,282,155.1,304.56,234.06,321.48,2.96,267.9,,
Delhi,17/12/18,337,185.35,363.96,279.71,384.18,3.54,320.15,,
Delhi,18/12/18,353,194.15,381.24,292.99,402.42,3.71,335.35,,
Delhi,19/12/18,353,194.15,381.24,292.99,402.42,3.71,335.35,,
Delhi,20/12/18,394,216.7,425.52,327.02,449.16,4.14,374.3,,
Delhi,21/12/18,386,212.3,416.88,320.38,440.04,4.05,366.7,,
Delhi,22/12/18,421,231.55,454.68,349.43,479.94,4.42,399.95,,
Delhi,23/12/18,450,247.5,486,373.5,513,4.73,427.5,,
Delhi,24/12/18,448,246.4,483.84,371.84,510.72,4.7,425.6,,
Delhi,25/12/18,409,224.95,441.72,339.47,466.26,4.29,388.55,,
